Niveau	Chemin complet
2	SAVOIRS > Biologie > Biologie animale
2	SAVOIRS > Biologie > Biologie cellulaire
2	SAVOIRS > Biologie > Biologie moléculaire
2	SAVOIRS > Biologie > Biologie végétale
2	SAVOIRS > Biologie > Biostatistique
2	SAVOIRS > Biologie > Botanique
2	SAVOIRS > Biologie > Écologie
2	SAVOIRS > Biologie > Entomologie
2	SAVOIRS > Biologie > Évolution
2	SAVOIRS > Biologie > Génétique
2	SAVOIRS > Biologie > Immunologie
2	SAVOIRS > Biologie > Microbiologie
2	SAVOIRS > Biologie > Neurobiologie
2	SAVOIRS > Biologie > Paléontologie
2	SAVOIRS > Biologie > Physiologie
2	SAVOIRS > Biologie > Zoologie
1	SAVOIRS > BTP
1	SAVOIRS > Business
2	SAVOIRS > Business > Carrière
2	SAVOIRS > Business > Communication
2	SAVOIRS > Business > Économie
2	SAVOIRS > Business > Finance
2	SAVOIRS > Business > Gestion
2	SAVOIRS > Business > IT Business
2	SAVOIRS > Business > Management
2	SAVOIRS > Business > Marketing
2	SAVOIRS > Business > PME
2	SAVOIRS > Business > Secteurs
2	SAVOIRS > Business > Stratégie
1	SAVOIRS > Chimie
1	SAVOIRS > Droit
2	SAVOIRS > Droit > Codes
2	SAVOIRS > Droit > Dictionnaire juridique
2	SAVOIRS > Droit > Droit civil
2	SAVOIRS > Droit > Droit des affaires
2	SAVOIRS > Droit > Droit des femmes
2	SAVOIRS > Droit > Droit du travail
2	SAVOIRS > Droit > Droit international
2	SAVOIRS > Droit > Droit pénal
2	SAVOIRS > Droit > Droit pratique
2	SAVOIRS > Droit > Droit privé
2	SAVOIRS > Droit > Droit public
2	SAVOIRS > Droit > Histoire du droit
2	SAVOIRS > Droit > Institutions
2	SAVOIRS > Droit > Métiers du droit
1	SAVOIRS > Industrie
1	SAVOIRS > Informatique
2	SAVOIRS > Informatique > Bureautique
2	SAVOIRS > Informatique > Certifications
2	SAVOIRS > Informatique > Cyberculture
2	SAVOIRS > Informatique > Cybersécurité
2	SAVOIRS > Informatique > Database
2	SAVOIRS > Informatique > Dictionnaire informatique
2	SAVOIRS > Informatique > Graphisme
2	SAVOIRS > Informatique > Hardware
2	SAVOIRS > Informatique > IA
2	SAVOIRS > Informatique > Internet
2	SAVOIRS > Informatique > Jeux vidéo
2	SAVOIRS > Informatique > Linux
2	SAVOIRS > Informatique > OS
2	SAVOIRS > Informatique > Programmation
2	SAVOIRS > Informatique > Réseaux
1	SAVOIRS > Langues
2	SAVOIRS > Langues > Apprendre une langue
